Date,Adams,Allegheny,Armstrong,Beaver,Bedford,Berks,Blair,Bradford,Bucks,Butler,Cambria,Cameron,Carbon,Centre,Chester,Clarion,Clearfield,Clinton,Columbia,Crawford,Cumberland,Dauphin,Delaware,Elk,Erie,Fayette,Forest,Franklin,Fulton,Greene,Huntingdon,Indiana,Jefferson,Juniata,Lackawanna,Lancaster,Lawrence,Lebanon,Lehigh,Luzerne,Lycoming,Mckean,Mercer,Mifflin,Monroe,Montgomery,Montour,Northampton,Northumberland,Perry,Philadelphia,Pike,Potter,Schuylkill,Snyder,Somerset,Sullivan,Susquehanna,Tioga,Union,Venango,Warren,Washington,Wayne,Westmoreland,Wyoming,York
4/16/2020 12:00 p.m.,1088,9939,401,1451,79,3306,580,325,4921,1619,378,19,705,562,3485,360,294,78,91,521,724,2110,5656,104,1168,1226,20,1932,50,286,168,375,220,48,1323,5013,473,1697,5291,2824,657,104,376,470,1896,11054,2751,4437,191,99,18034,859,44,1350,102,252,18,141,145,373,171,122,1287,333,3038,53,4691
4/17/2020 12:00 p.m.,1118,10199,424,1478,83,3432,589,334,5139,1682,432,19,722,570,3606,362,303,87,117,531,761,2178,5825,107,1213,1263,21,2009,51,299,173,390,231,51,1386,5217,490,1778,5441,2960,689,108,391,491,1952,11330,2854,4550,218,101,18755,900,46,1375,112,277,19,147,153,391,177,125,1320,344,3107,59,4870
4/18/2020 12:00 p.m.,1144,10870,442,1603,88,3691,605,367,5291,1738,445,19,744,588,3772,370,314,96,146,543,825,2284,6047,109,1271,1311,21,2073,52,317,177,410,240,62,1466,5476,513,1864,5561,3113,723,122,428,516,1997,11567,2917,4682,247,109,19417,923,50,1411,119,289,20,156,166,401,183,130,1492,360,3269,70,5064
4/19/2020 1:00 p.m.,1173,11162,448,1609,102,3883,634,369,5527,1756,496,19,766,596,3902,371,322,103,174,547,867,2351,6232,117,1303,1328,21,2131,52,322,180,426,246,67,1521,5663,521,1923,5693,3223,750,123,439,516,2034,11970,2924,4788,263,112,19928,964,51,1450,120,323,22,167,169,407,188,133,1514,380,3382,73,5234
4/19/2020 1:00 p.m.,1173,11162,448,1609,102,3883,634,369,5527,1756,496,19,766,596,3902,371,322,103,174,547,867,2351,6232,117,1303,1328,21,2131,52,322,180,426,246,67,1521,5663,521,1923,5693,3223,750,123,439,516,2034,11970,2924,4788,263,112,19928,964,51,1450,120,323,22,167,169,407,188,133,1514,380,3382,73,5234
4/20/2020 12:00 p.m.,1208,11348,459,1621,103,3948,637,391,5742,1801,499,19,781,605,3994,376,327,109,194,549,904,2396,6398,118,1335,1354,21,2174,54,324,179,439,255,69,1573,5808,531,1972,5792,3399,775,123,500,523,2061,12304,2931,4868,274,119,20477,982,55,1473,128,336,24,177,175,412,189,135,1553,402,3481,77,5360
4/21/2020 12:00 p.m.,1237,11611,474,1628,109,4011,646,408,5884,1840,567,19,793,605,4075,382,331,114,220,554,935,2448,6540,119,1340,1376,21,2244,55,332,182,453,258,71,1612,5956,537,2033,5883,3449,796,132,519,527,2088,12482,2933,5004,288,126,20817,1001,61,1501,133,361,24,182,177,424,190,137,1577,403,3529,78,5481
4/22/2020 12:00 p.m.,1254,11959,505,1638,112,4139,650,457,6108,1876,642,19,814,618,4178,384,337,125,279,555,990,2599,6737,120,1351,1394,20,2280,58,347,198,459,262,76,1661,6104,550,2065,6043,3569,853,138,538,540,2131,12961,2938,5141,324,134,21464,1006,65,1560,143,381,24,185,184,429,191,137,1616,408,3581,83,5585
